DateTime,Entries,UniqueIPs
1512774622,3352,3352
1512789305,3308,3308
1512804246,219,219
1512817821,3192,3192
1512832222,3162,3162
1512846622,3180,3180
1512861022,3159,3159
1512875422,3096,3096
1512889821,3027,3027
1512904222,2969,2969
1512918621,2949,2949
1512933025,2952,2952
1512947429,2952,2952
1512961821,2897,2897
1512976221,2924,2924
1512990621,2933,2933
1513005021,2930,2930
1513019433,3010,3010
1513033821,3050,3050
1513048220,3017,3017
1513062620,3068,3068
1513077021,3094,3094
1513091421,3166,3166
1513105821,3256,3256
1513120229,3276,3276
1513134624,3251,3251
1513149021,3209,3209
1513163422,3306,3306
1513177826,3335,3335
1513192238,3386,3386
1513206624,3439,3439
1513221023,3333,3333
1513235422,3321,3321
1513249822,3335,3335
1513264227,3392,3392
1513278631,3449,3449
1513293022,3449,3449
1513307422,3441,3441
1513321822,3373,3373
1513336231,3358,3358
1513350622,3385,3385
1513365028,3413,3413
1513379423,3442,3442
1513393824,3356,3356
1513408221,3235,3235
1513422625,3181,3181
1513437022,3141,3141
1513451423,3188,3188
1513465822,3151,3151
1513480223,3024,3024
1513494622,2966,2966
1513509020,2872,2872
1513523426,2846,2846
1513537820,2848,2848
1513552220,2860,2860
1513566621,2831,2831
1513581019,2817,2817
1513595420,2877,2877
1513609820,2852,2852
1513624221,2919,2919
1513638621,2997,2997
1513653034,2957,2957
1513667420,2973,2973
1513681828,3000,3000
1513696223,3037,3037
1513710621,3097,3097
1513725021,3109,3109
1513739421,3032,3032
1513753821,3025,3025
1513768221,2821,2821
1513782621,2795,2795
1513797020,2789,2789
1513811420,2847,2847
1513825831,2801,2801
1513840221,2817,2817
1513854620,2859,2859
1513869020,2888,2888
1513883420,2942,2942
1513897821,2993,2993
1513912220,2986,2986
1513926620,3039,3039
1513941021,3060,3060
1513955420,3119,3119
1513969821,3149,3149
1513984221,3186,3186
1513998621,3178,3178
1514013021,3156,3156
1514027421,3158,3158
1514041821,3204,3204
1514056220,3211,3211
1514070621,3187,3187
1514085020,3077,3077
1514099421,2964,2964
1514113819,2863,2863
1514128220,2826,2826
1514142620,2854,2854
1514157020,2784,2784
1514171420,2758,2758
1514185819,2706,2706
1514200220,2721,2721
1514214619,2763,2763
1514229019,2798,2798
1514243419,2819,2819
1514257820,2817,2817
1514272220,2819,2819
1514286620,2896,2896
1514301020,2945,2945
1514315420,2976,2976
1514329820,3042,3042
1514344221,3009,3009
1514358621,3006,3006
1514373021,3022,3022
1514387421,3091,3091
1514401821,3144,3144
1514416221,3212,3212
1514430621,3193,3193
1514445021,3118,3118
1514459421,3116,3116
1514473827,3142,3142
1514488229,3142,3142
1514502621,3151,3151
1514517029,3093,3093
1514531420,3058,3058
1514545820,3093,3093
1514560221,3123,3123
1514574622,3135,3135
1514589021,3187,3187
1514603421,3143,3143
1514617821,3063,3063
1514632222,3032,3032
1514646623,3167,3167
1514661022,3194,3194
1514675422,3256,3256
1514689826,3170,3170
1514704220,3052,3052
1514718620,2996,2996
1514733020,2954,2954
1514747421,2980,2980
1514761820,2958,2958
1514776221,2912,2912
1514790621,2855,2855
1514805019,2681,2681
1514819420,2634,2634
1514833820,2594,2594
1514848219,2612,2612
1514862624,2582,2582
1514877019,2597,2597
1514891419,2594,2594
1514905819,2605,2605
1514920220,2663,2663
1514934619,2720,2720
1514949021,2747,2747
1514998506,2952,2952
1515010220,3010,3010
1515024619,3032,3032
1515039019,2681,2681
1515053419,2662,2662
1515067817,2476,2476
1515082252,2874,2874
1515096619,2922,2922
1515111019,2972,2972
1515125419,2930,2930
1515139818,2906,2906
1515154219,2983,2983
1515168618,2747,2747
1515183028,2560,2560
1515197419,2638,2638
1515211818,2623,2623
1515226218,2626,2626
1515240618,2694,2694
1515255018,2692,2692
1515269418,2727,2727
1515283817,2729,2729
1515298217,2621,2621
1515312618,2536,2536
1515327017,2238,2238
1515341416,1881,1881
1515355817,2179,2179
1515370218,2203,2203
1515384617,2177,2177
1515399018,2183,2183
1515413416,2270,2270
1515427817,2323,2323
1515442220,2386,2386
1515456619,2472,2472
1515471019,2440,2440
1515485419,2702,2702
1515499819,3023,3023
1515514221,3145,3145
1515528625,3148,3148
1515543020,3146,3146
1515557420,3080,3080
1515571820,3095,3095
1515586221,3141,3141
1515600623,3193,3193
1515615020,3227,3227
1515629420,3233,3233
1515643820,3146,3146
1515658220,3092,3092
1515672619,2856,2856
1515687020,3236,3236
1515701423,3317,3317
1515715823,3313,3313
1515730219,3219,3219
1515744621,3165,3165
1515759020,3140,3140
1515773420,3140,3140
1515787820,3214,3214
1515802220,3190,3190
1515816621,3095,3095
1515831020,3023,3023
1515845420,2950,2950
1515859820,2910,2910
1515874221,2956,2956
1515888622,2955,2955
1515903020,2883,2883
1515917419,2796,2796
1515931819,2745,2745
1515946219,2705,2705
1515960618,2724,2724
1515975018,2772,2772
1515989419,2783,2783
1516003819,2844,2844
1516018220,2886,2886
1516032619,2792,2792
1516047020,2809,2809
1516061419,2810,2810
1516075819,2814,2814
1516090220,2840,2840
1516104619,2845,2845
1516119019,2700,2700
1516133419,2983,2983
1516147826,2986,2986
1516162228,2930,2930
1516176633,2530,2530
1516191032,2940,2940
1516205433,2954,2954
1516219840,2984,2984
1516234237,2971,2971
1516248636,2947,2947
1516263036,2914,2914
1516277437,2967,2967
1516291830,2945,2945
1516306228,2953,2953
1516320627,2927,2927
1516335026,2888,2888
1516349423,2794,2794
1516363818,2776,2776
1516378229,2807,2807
1516392621,2811,2811
1516407018,2815,2815
1516421417,2717,2717
1516435818,2647,2647
1516450219,2667,2667
1516464624,2668,2668
1516479024,2696,2696
1516493429,2674,2674
1516507818,2615,2615
1516522217,2540,2540
1516536617,2523,2523
1516551017,2511,2511
1516565426,2503,2503
1516579817,2521,2521
1516594217,2510,2510
1516608618,2496,2496
1516623017,2547,2547
1516637422,2614,2614
1516651823,2655,2655
1516666217,2719,2719
1516680622,2730,2730
1516695023,2748,2748
1516709418,2808,2808
1516723819,2869,2869
1516738220,2927,2927
1516752619,2958,2958
1516767019,2949,2949
1516781420,2914,2914
