DateTime,Entries,UniqueIPs
1512342237,9,9
1512386220,8,8
1512430370,7,7
1512452479,8,8
1512497054,8,8
1512518926,7,7
1512541017,6,6
1512650929,5,5
1512673112,4,4
1512739386,3,3
1512893568,5,5
1512981875,6,6
1513026260,29,29
1513136208,31,31
1513180121,31,31
1513257635,32,32
1513279478,34,34
1513323627,35,35
1513345723,36,36
1513477999,35,35
1513521874,36,36
1513543963,35,35
1513588160,34,34
1513632046,11,11
1513741974,10,10
1513786413,9,9
1513874667,8,8
1513985817,6,6
1514007886,5,5
1514227968,19,19
1514359756,41,41
1514382051,40,40
1514469951,41,41
1514491960,42,42
1514514029,42,42
1514602017,43,43
1514646164,44,44
1514734290,45,45
1514822211,31,31
1514888468,32,32
1514976374,8,8
1515133546,21,21
1515222399,19,19
1515244611,27,27
1515288513,28,28
1515354531,41,41
1515464924,43,43
1515486942,44,44
1515642130,54,54
1515752084,55,55
1515796611,54,54
1515818694,55,55
1515840750,47,47
1515884874,48,48
1515906785,56,56
1515951363,54,54
1516061822,53,53
1516215880,54,54
1516281958,55,55
1516303953,55,55
1516370484,54,54
1516414903,28,28
1516536544,27,27
1516712183,28,28
1516756138,29,29
1516778179,28,28
