DateTime,AddedIPs,RemovedIPs
1512623539,4,208
1512709979,263,2
1512796632,184,207
1512882656,209,191
1512969445,234,215
1513054933,172,229
1513142019,195,168
1513228634,225,192
1513314758,195,236
1513401419,167,202
1513487813,203,160
1513573967,260,209
1513660372,206,252
1513746800,201,202
1513833186,251,210
1513919591,218,235
1514006235,226,229
1514092599,259,215
1514178696,169,270
1514265319,187,180
1514351760,183,176
1514438025,173,185
1514524376,191,179
1514610777,178,180
1514697094,189,187
1514783596,197,172
1514869992,219,211
1514956354,191,211
1515042747,135,192
1515129207,161,136
1515215665,179,158
1515302219,151,180
1515388389,185,163
1515475206,224,179
1515561267,342,203
1515647611,235,341
1515733975,284,265
