DateTime,AddedIPs,RemovedIPs
1512430360,1,0
1512474488,0,1
1512805312,1,0
1512849391,81,0
1512915684,1,0
1513026253,0,1
1513070181,0,1
1513114125,1,0
1513367828,1,0
1513456116,0,81
1513521867,0,1
1513675963,1,0
1513719895,0,1
1513808619,0,1
1514359750,0,1
1514756233,1,0
1514888462,0,1
1515341555,0,1
1515512201,1,0
1515556416,1,0
1516130683,0,1
1516182710,1,1
1516645247,1,0
1516778176,1,0
