DateTime,AddedIPs,RemovedIPs
1511093429,26,33
1511107828,5,19
1511122228,3,17
1511132428,32,7
1511143226,9,23
1511154027,12,25
1511165428,8,50
1511179828,8,40
1511193629,17,69
1511206828,9,39
1511217028,9,18
1511227226,6,21
1511238626,10,36
1511249427,8,34
1511260228,5,32
1511271628,14,31
1511281828,3,0
1511292627,2,17
1511302827,6,17
1511313626,13,29
1511325026,11,25
1511335825,7,36
1511346628,5,52
1511357427,5,27
1511368228,5,18
1511379028,10,17
1511389227,7,0
1511400627,8,11
1511411426,5,44
1511422225,8,26
1511433028,5,40
1511443828,9,33
1511454628,15,39
1511464828,7,29
1511475627,4,23
1511487026,12,19
1511498426,8,15
1511508632,2,33
1511519429,7,0
1511530829,9,31
1511542829,9,22
1511553028,5,28
1511563828,10,9
1511574626,7,22
1511586026,5,21
1511596828,12,13
1511607029,3,29
1511620827,12,18
1511630427,8,18
1511641227,43,8
1511652026,9,10
1511663426,13,11
1511674225,10,22
1511684429,5,102
1511695829,9,40
1511707229,7,0
1511717428,6,26
1511728228,8,15
1511739028,7,21
1511749827,6,23
1511760627,2,30
1511771430,5,40
1511781628,9,33
1511793028,38,0
1511804428,18,17
1511815827,12,21
1511826627,13,11
1511838627,10,15
1511848826,16,28
1511859628,12,20
1511871028,15,13
1511883628,6,16
1511893828,3,19
1511904030,12,11
1511915429,7,12
1511926228,8,13
1511936428,3,9
1511947232,8,12
1511958030,5,12
1511969430,3,15
1511979624,9,8
1511991023,10,18
1512001823,19,11
1512012622,11,14
1512023421,14,17
1512034224,6,14
1512045028,8,10
1512055824,9,18
1512066624,9,16
1512076824,4,11
1512087624,12,18
1512099022,5,11
1512109221,12,7
1512120625,36,9
1512130825,17,19
1512142226,6,18
1512152424,9,5
1512163224,5,8
1512174024,3,6
1512185425,15,7
1512196223,8,8
1512205824,3,11
1512217224,10,12
1512228628,0,19
1512238829,9,8
1512249024,9,11
1512260423,9,7
1512270624,4,13
1512282023,72,12
1512292824,12,12
1512303624,8,16
1512315024,6,12
1512330622,6,14
1512341421,9,9
1512352221,6,15
1512363620,2,15
1512373820,53,15
1512385222,12,8
1512395421,15,18
1512406222,9,23
1512416421,8,16
1512427821,12,7
1512438620,4,15
1512450019,17,16
1512460219,7,18
1512471022,11,25
1512481822,9,21
1512492622,5,14
1512503422,6,10
1512513622,3,16
1512525021,13,11
1512536421,13,9
1512546619,34,16
1512558024,12,19
1512568838,6,12
1512584421,6,13
1512600621,4,28
1512611420,4,13
1512621620,10,23
1512633020,28,14
1512643222,15,16
1512654622,5,13
1512665423,3,16
1512675622,6,7
1512687022,9,14
1512697822,8,12
1512709220,13,12
1512720023,9,12
1512730222,6,13
1512741021,3,16
1512751827,7,12
1512762027,4,28
1512773423,8,20
1512784221,11,13
1512795020,7,10
1512805820,8,6
1512816623,6,9
1512827423,8,12
1512838224,5,14
1512848423,7,15
1512859226,10,15
1512870021,52,6
1512880821,7,8
1512891621,40,16
1512902422,13,17
1512913822,63,24
1512925224,19,19
1512935423,12,3
1512946221,18,0
1512957620,7,17
1512968421,5,29
1512978619,14,0
1512988825,29,35
1513000823,92,23
1513011024,17,31
1513022429,14,22
1513036223,17,23
1513047021,6,18
1513057820,51,9
1513068023,10,20
1513079425,12,14
1513090224,14,15
1513101024,12,17
1513111822,7,7
1513122623,6,15
1513133421,10,18
1513144821,20,13
1513155025,13,15
1513165823,8,15
1513177222,14,24
1513187421,8,24
1513198221,9,0
1513209021,5,19
1513220423,4,22
1513230622,7,11
1513241427,12,13
1513252222,3,11
1513263623,15,14
1513273822,13,8
1513285221,5,29
1513294821,352,29
1513302620,177,15
1513317023,77,0
1513330822,30,19
1513342226,25,10
1513356622,27,16
1513367421,13,11
1513378821,11,27
1513389621,45,9
1513400420,16,12
1513411222,19,9
1513422022,3,7
1513435222,12,12
1513445422,10,19
1513456221,6,22
1513467021,13,12
1513477220,26,17
1513488619,10,5
1513498822,6,15
1513509023,6,17
1513520423,10,13
1513531222,11,15
1513541421,4,20
1513552822,8,14
1513564221,12,20
1513574420,11,18
1513585222,19,20
1513596023,7,17
1513607422,13,16
1513617621,9,14
1513628422,10,19
1513639821,8,22
1513650021,7,0
1513661420,9,10
1513671623,7,21
1513682423,8,36
1513693224,7,34
1513704024,16,21
1513714823,22,12
1513725621,11,7
1513736421,39,13
1513747221,17,18
1513758023,8,23
1513769422,6,11
1513780822,4,19
1513790422,10,18
1513801222,11,10
1513812022,14,11
1513822821,13,9
1513833620,9,10
1513844422,7,23
1513855223,5,23
1513866022,10,15
1513880422,17,9
1513891224,7,28
1513902020,12,6
1513912820,6,98
1513923619,10,56
1513935021,7,46
1513945222,10,0
1513956021,7,43
1513966822,7,34
1513977622,8,30
1513988421,10,72
1513999220,7,23
1514009419,9,28
1514023822,10,23
1514035223,5,18
1514047221,11,13
1514058621,6,16
1514068821,5,17
1514080224,13,24
1514091020,7,16
1514101819,14,14
1514112622,10,16
1514124022,4,17
1514133621,10,22
1514144421,49,16
1514155820,20,13
1514167220,12,24
1514177420,8,12
