DateTime,AddedIPs,RemovedIPs
1512343979,1,0
1512419570,1,0
1512431328,0,1
1512482997,0,1
1512502849,0,1
1512516253,1,0
1512566453,1,0
1512602922,0,1
1512613697,1,0
1512651393,0,1
1512672519,1,0
1512692921,1,0
1512699077,0,1
1512758792,0,1
1512768751,1,0
1512772582,1,0
1512778530,0,1
1512855861,0,1
1512906048,1,0
1512924517,1,0
1512950922,1,0
1512992660,0,1
1513002681,0,1
1513004653,1,0
1513010672,0,1
1513038503,0,1
1513050495,1,0
1513062092,1,0
1513081258,1,0
1513091819,0,1
1513137164,0,1
1513148200,0,1
1513159718,1,0
1513167419,0,1
1513185417,1,0
1513189251,1,0
1513221928,1,0
1513249140,0,1
1513253439,1,0
1513270883,0,1
1513272764,2,0
1513274701,0,1
1513278536,1,0
1513286197,1,0
1513289174,1,0
1513299150,1,0
1513308021,0,1
1513333223,1,0
1513340919,0,1
1513357427,0,1
1513359336,0,1
1513365131,0,1
1513372101,0,1
1513374020,0,1
1513385802,0,1
1513417482,0,1
1513420356,1,0
1513497367,1,0
1513507953,0,1
1513570618,1,0
1513582120,1,0
1513584081,0,1
1513591965,2,0
1513607316,1,0
1513627807,1,0
1513646994,1,0
1513653641,5,0
1513655569,0,1
1513667330,0,1
1513669224,1,0
1513678891,0,1
1513693221,0,1
1513704167,1,0
1513710095,0,1
1513712911,0,1
1513723097,1,0
1513740107,0,5
1513754473,0,1
1513761187,1,0
1513785898,1,0
1513787828,1,1
1513810591,0,1
1513834600,1,0
1513836524,1,0
1513848521,0,1
1513866274,1,0
1513871780,0,1
1513873717,0,1
1513888670,0,1
1513920496,0,1
1513922499,0,1
1513952022,1,1
1514018185,1,0
1514035708,1,0
1514038615,0,1
1514057833,1,0
1514073716,1,0
1514087069,1,0
1514089059,1,0
1514123073,0,1
1514133272,1,0
1514157414,0,2
1514159237,0,1
1514172750,0,1
1514174796,0,1
1514182558,2,0
1514221238,0,1
1514242241,8,0
1514249917,2,0
1514255575,1,0
1514319202,1,0
1514336198,0,12
1514342192,0,1
1514399824,1,0
1514405814,0,1
1514409707,1,0
1514419501,1,0
1514487730,0,1
1514497220,0,1
1514503082,0,1
1514508998,1,0
1514513783,7,0
1514562080,1,0
1514569978,1,0
1514575715,1,0
1514596116,0,1
1514598145,0,7
1514649357,0,1
1514657310,0,1
1514659233,1,0
1514661407,0,1
1514720934,1,0
1514745866,0,1
1514751654,1,0
1514772089,1,0
1514778281,27,0
1514786638,1,0
1514792481,1,0
1514808629,0,1
1514814576,1,0
1514838281,0,1
1514856277,1,0
1514858199,0,1
1514864204,0,27
1514866369,2,0
1514872663,0,1
1514876800,15,0
1514878613,0,1
1514900714,1,1
1514902605,1,0
1514917003,1,0
1514942919,0,1
1514952744,3,2
1514964283,0,15
1514978751,1,0
1514986649,0,1
1514988559,0,1
1515000063,1,0
1515002479,0,1
1515016356,1,0
1515133535,20,6
1515137379,1,0
1515139306,3,0
1515143170,2,0
1515152783,0,5
1515158910,3,0
1515160879,0,5
1515164690,0,1
1515193187,1,0
1515201108,0,3
1515206797,1,4
1515208729,0,1
1515214702,3,0
1515220527,0,1
1515222393,0,1
1515230095,0,5
1515237781,27,0
1515245593,0,3
1515249598,1,0
1515251412,4,0
1515259305,5,0
1515280456,0,1
1515292094,0,1
1515294146,3,0
1515300137,3,3
1515319583,1,0
1515323545,0,4
1515325430,0,22
1515327305,1,0
1515334995,0,1
1515336948,1,4
1515346361,0,5
1515380666,0,3
1515386925,5,4
1515400305,1,0
1515406237,0,1
1515410042,4,0
1515413878,0,1
1515421583,0,1
1515424597,6,0
1515432282,5,0
1515436353,25,0
1515464430,1,0
1515468265,2,0
1515472357,0,5
1515476430,4,0
1515485975,0,1
1515495679,0,3
1515501431,1,0
1515505240,1,0
1515511244,0,6
1515518932,0,5
1515523226,0,25
1515527069,1,0
1515541885,1,0
1515545786,11,0
1515547902,7,0
1515549875,1,1
1515553981,0,2
1515559726,2,0
1515561648,14,5
1515578914,1,0
1515582990,5,0
1515587108,0,1
1515592952,0,1
1515596697,1,0
1515598651,6,0
1515606438,3,0
1515612354,0,1
1515620053,1,0
1515626003,2,0
1515628114,0,1
1515634379,0,12
1515636299,0,1
1515638191,1,0
1515640128,3,0
1515642126,2,0
1515645865,3,2
1515648228,3,20
1515654167,35,0
1515666333,0,1
1515670201,1,5
1515681705,0,1
1515685777,0,4
1515692234,0,4
1515696272,1,0
1515705854,1,0
1515709977,1,0
1515712876,0,2
1515724817,0,1
1515726764,0,3
1515732987,0,3
1515734995,0,3
1515737083,5,0
1515738978,0,34
1515742836,2,0
1515758213,0,1
1515764207,4,0
1515769962,1,0
1515781730,3,0
1515789643,2,0
1515793483,0,1
1515795416,1,0
1515809071,2,0
1515824918,0,6
1515826905,4,6
1515828759,0,2
1515834638,3,0
1515836676,5,0
1515838830,4,0
1515850368,0,4
1515856356,0,1
1515867879,1,1
1515876052,0,2
1515897260,1,0
1515902984,1,0
1515912853,0,6
1515920612,0,3
1515922582,0,5
1515924423,0,4
1515926227,0,3
1515932093,6,0
1515947811,2,0
1515982267,2,0
1515984271,5,1
1515988125,0,1
1516002968,1,0
1516017517,0,5
1516019321,0,1
1516023169,3,0
1516027452,1,0
1516029285,0,1
1516031305,8,0
1516033144,1,1
1516035396,0,1
1516069000,0,2
1516070919,1,5
1516089160,0,1
1516098039,1,0
1516104292,1,0
1516108365,0,3
1516112210,1,0
1516114128,0,1
1516116047,0,1
1516117964,0,8
1516120682,1,0
1516139787,1,0
1516144583,1,0
1516146780,1,0
1516151332,1,0
1516157300,0,1
1516175556,1,0
1516184148,0,1
1516191864,0,1
1516197744,0,1
1516203523,1,0
1516207650,0,1
1516227665,0,1
1516229712,2,1
1516231700,0,1
1516237375,0,1
1516262902,0,1
1516272833,1,0
1516288702,0,1
1516290741,1,0
1516309659,1,0
1516315957,0,2
1516352179,1,0
1516360352,0,1
1516362296,1,0
1516375437,0,1
1516407153,1,0
1516420581,4,0
1516438367,0,1
1516447155,1,0
1516452999,0,1
1516454951,0,1
1516466677,1,0
1516478213,1,0
1516482993,1,0
1516493087,1,1
1516498821,1,0
1516508443,0,4
1516519941,1,0
1516539369,0,1
1516553058,0,1
1516560760,1,0
1516564573,0,1
1516570355,0,1
1516574220,1,0
1516580411,1,1
1516586508,0,1
1516590277,1,0
1516605619,0,1
1516615277,1,0
1516617131,1,0
1516624837,1,0
1516646174,0,1
1516658474,1,0
1516660362,0,1
1516664084,1,0
1516666094,0,1
1516677654,0,1
1516702582,0,2
1516710297,0,1
1516723959,1,0
1516734764,1,0
1516748231,1,0
1516750744,0,1
1516762330,1,0
1516773896,0,1
