DateTime,Entries,UniqueIPs
1516151518,12205,12205
1516155129,12215,12215
1516158720,12204,12204
1516162319,12173,12173
1516165918,12165,12165
1516169515,12150,12150
1516173119,12122,12122
1516176703,12130,12130
1516180311,12148,12148
1516183920,12145,12145
1516187512,12130,12130
1516191109,12118,12118
1516194714,12129,12129
1516198317,12169,12169
1516201915,12139,12139
1516205509,12118,12118
1516209117,12108,12108
1516212713,12118,12118
1516216310,12106,12106
1516219920,12106,12106
1516223514,12093,12093
1516227109,12105,12105
1516230711,12079,12079
1516234300,12060,12060
1516237913,12057,12057
1516241504,12069,12069
1516245113,12118,12118
1516248720,12106,12106
1516252321,12131,12131
1516255914,12145,12145
1516259517,12141,12141
1516263116,12161,12161
1516266714,12175,12175
1516270312,12182,12182
1516273911,12183,12183
1516277521,12180,12180
1516281112,12189,12189
1516284715,12222,12222
1516288330,12259,12259
1516291919,12269,12269
1516295532,12295,12295
1516299135,12331,12331
1516302729,12303,12303
1516306338,12305,12305
1516309935,12263,12263
1516313530,12266,12266
1516317135,12263,12263
1516320704,12247,12247
1516324313,12215,12215
1516327915,12231,12231
1516331531,12253,12253
1516335115,12260,12260
1516338714,12252,12252
1516342320,12271,12271
1516345932,12274,12274
1516349522,12245,12245
1516353114,12237,12237
1516356722,12228,12228
1516360325,12208,12208
1516363908,12186,12186
1516367510,12190,12190
1516371119,12213,12213
1516374736,12232,12232
1516378324,12256,12256
1516381899,12240,12240
1516385519,12252,12252
1516389131,12248,12248
1516392712,12225,12225
1516396306,12188,12188
1516399907,12190,12190
1516403526,12183,12183
1516407106,12144,12144
1516410710,12123,12123
1516414300,12080,12080
1516417919,12074,12074
1516421507,12054,12054
1516425101,12041,12041
1516428705,12053,12053
1516432317,12057,12057
1516435905,12057,12057
1516439501,12035,12035
1516443105,12022,12022
1516446715,12043,12043
1516450313,12027,12027
1516453910,12009,12009
1516457503,11973,11973
1516461108,11974,11974
1516464705,11971,11971
1516468308,11981,11981
1516471907,11981,11981
1516475516,11999,11999
1516479118,11993,11993
1516482706,11986,11986
1516486315,11985,11985
1516489909,11979,11979
1516493514,11951,11951
1516497106,11955,11955
1516500712,11937,11937
1516504313,11928,11928
1516507924,11943,11943
1516511511,11975,11975
1516515110,11960,11960
1516518715,11957,11957
1516522316,11971,11971
1516525918,11949,11949
1516529492,11958,11958
1516533114,11961,11961
1516536712,11935,11935
1516540303,11887,11887
1516543913,11868,11868
1516547505,11850,11850
1516551106,11852,11852
1516554708,11866,11866
1516558300,11868,11868
1516561911,11879,11879
1516565512,11875,11875
1516569135,11858,11858
1516572710,11872,11872
1516576307,11863,11863
1516579904,11859,11859
1516583501,11827,11827
1516587088,11811,11811
1516590700,11777,11777
1516594297,11712,11712
1516597893,11701,11701
1516601489,11692,11692
1516605095,11697,11697
1516608702,11680,11680
1516612296,11650,11650
1516615886,11642,11642
1516619494,11638,11638
1516623085,11631,11631
1516626689,11615,11615
1516630281,11599,11599
1516633890,11584,11584
1516637483,11565,11565
1516641090,11556,11556
1516644687,11552,11552
1516648289,11543,11543
1516651881,11539,11539
1516655490,11566,11566
1516659087,11550,11550
1516662684,11557,11557
1516666289,11576,11576
1516669882,11532,11532
1516673480,11522,11522
1516677100,11530,11530
1516680680,11533,11533
1516684293,11530,11530
1516687894,11571,11571
1516691494,11568,11568
1516695087,11562,11562
1516698683,11574,11574
1516702285,11591,11591
1516705897,11618,11618
1516709488,11626,11626
1516713077,11622,11622
1516716690,11616,11616
1516720286,11608,11608
1516723895,11630,11630
1516727498,11634,11634
1516731101,11823,11823
1516734720,12003,12003
1516738321,12134,12134
1516741930,12276,12276
1516745540,12348,12348
1516749143,12385,12385
1516752742,12433,12433
1516756350,12461,12461
1516759942,12445,12445
1516763546,12445,12445
1516767141,12457,12457
1516770743,12470,12470
1516774348,12477,12477
1516777946,12481,12481
1516781547,12483,12483
1516785145,12478,12478
1516788750,12509,12509
1516792346,12513,12513
