DateTime,Entries,UniqueIPs
1511093429,4970,5054
1511107828,4956,5040
1511122228,4942,5026
1511132428,4964,5051
1511143226,4950,5037
1511154027,4938,5024
1511165428,4899,4982
1511179828,4868,4950
1511193629,4815,4898
1511206828,4785,4868
1511217028,4776,4859
1511227226,4761,4844
1511238626,4736,4818
1511249427,4711,4792
1511260228,4688,4765
1511271628,4672,4748
1511281828,4675,4751
1511292627,4660,4736
1511302827,4650,4725
1511313626,4634,4709
1511325026,4620,4695
1511335825,4590,4666
1511346628,4543,4619
1511357427,4522,4597
1511368228,4511,4584
1511379028,4504,4577
1511389227,4511,4584
1511400627,4507,4581
1511411426,4469,4542
1511422225,4452,4524
1511433028,4416,4489
1511443828,4393,4465
1511454628,4370,4441
1511464828,4348,4419
1511475627,4329,4400
1511487026,4322,4393
1511498426,4315,4386
1511508632,4284,4355
1511519429,4290,4362
1511530829,4271,4340
1511542829,4261,4327
1511553028,4241,4304
1511563828,4241,4305
1511574626,4225,4290
1511586026,4209,4274
1511596828,4208,4273
1511607029,4182,4247
1511620827,4176,4241
1511630427,4167,4231
1511641227,4199,4266
1511652026,4198,4265
1511663426,4200,4267
1511674225,4188,4255
1511684429,4097,4158
1511695829,4067,4127
1511707229,4074,4134
1511717428,4054,4114
1511728228,4046,4107
1511739028,4032,4093
1511749827,4016,4076
1511760627,3988,4048
1511771430,3954,4013
1511781628,3930,3989
1511793028,3968,4027
1511804428,3969,4028
1511815827,3960,4019
1511826627,3962,4021
1511838627,3958,4016
1511848826,3946,4004
1511859628,3938,3996
1511871028,3940,3998
1511883628,3931,3988
1511893828,3915,3972
1511904030,3917,3973
1511915429,3912,3968
1511926228,3906,3963
1511936428,3899,3957
1511947232,3895,3953
1511958030,3889,3946
1511969430,3876,3934
1511979624,3876,3935
1511991023,3868,3927
1512001823,3876,3935
1512012622,3873,3932
1512023421,3869,3929
1512034224,3862,3921
1512045028,3860,3919
1512055824,3851,3910
1512066624,3845,3903
1512076824,3839,3896
1512087624,3833,3890
1512099022,3825,3884
1512109221,3829,3889
1512120625,3856,3916
1512130825,3854,3914
1512142226,3842,3902
1512152424,3846,3906
1512163224,3843,3903
1512174024,3840,3900
1512185425,3847,3908
1512196223,3847,3908
1512205824,3840,3900
1512217224,3837,3898
1512228628,3820,3879
1512238829,3821,3880
1512249024,3818,3878
1512260423,3818,3880
1512270624,3809,3871
1512282023,3868,3931
1512292824,3867,3931
1512303624,3859,3923
1512315024,3853,3917
1512330622,3845,3909
1512341421,3844,3909
1512352221,3835,3900
1512363620,3822,3887
1512373820,3857,3925
1512385222,3860,3929
1512395421,3857,3926
1512406222,3843,3912
1512416421,3837,3904
1512427821,3842,3909
1512438620,3831,3898
1512450019,3832,3899
1512460219,3820,3888
1512471022,3805,3874
1512481822,3793,3862
1512492622,3785,3853
1512503422,3781,3849
1512513622,3768,3836
1512525021,3770,3838
1512536421,3774,3842
1512546619,3793,3860
1512558024,3786,3853
1512568838,3780,3847
1512584421,3775,3840
1512600621,3752,3816
1512611420,3743,3807
1512621620,3730,3794
1512633020,3744,3808
1512643222,3743,3807
1512654622,3735,3799
1512665423,3724,3786
1512675622,3723,3785
1512687022,3719,3780
1512697822,3717,3776
1512709220,3717,3777
1512720023,3714,3774
1512730222,3707,3767
1512741021,3694,3754
1512751827,3689,3749
1512762027,3666,3725
1512773423,3654,3713
1512784221,3651,3711
1512795020,3647,3708
1512805820,3650,3710
1512816623,3649,3707
1512827423,3645,3703
1512838224,3636,3694
1512848423,3627,3686
1512859226,3623,3681
1512870021,3666,3727
1512880821,3665,3726
1512891621,3690,3750
1512902422,3688,3746
1512913822,3727,3785
1512925224,3727,3785
1512935423,3735,3794
1512946221,3753,3812
1512957620,3744,3802
1512968421,3722,3778
1512978619,3736,3792
1512988825,3732,3786
1513000823,3801,3855
1513011024,3788,3841
1513022429,3782,3833
1513036223,3776,3827
1513047021,3764,3815
1513057820,3806,3857
1513068023,3796,3847
1513079425,3794,3845
1513090224,3793,3844
1513101024,3787,3839
1513111822,3787,3839
1513122623,3778,3830
1513133421,3771,3822
1513144821,3778,3829
1513155025,3775,3827
1513165823,3768,3820
1513177222,3757,3810
1513187421,3740,3794
1513198221,3749,3803
1513209021,3736,3789
1513220423,3718,3771
1513230622,3715,3767
1513241427,3714,3766
1513252222,3706,3758
1513263623,3708,3759
1513273822,3713,3764
1513285221,3689,3740
1513294821,4009,4063
1513302620,4172,4225
1513317023,4248,4302
1513330822,4260,4313
1513342226,4276,4328
1513356622,4286,4339
1513367421,4288,4341
1513378821,4271,4325
1513389621,4307,4361
1513400420,4311,4365
1513411222,4321,4375
1513422022,4317,4371
1513435222,4316,4371
1513445422,4307,4362
1513456221,4291,4346
1513467021,4292,4347
1513477220,4302,4356
1513488619,4307,4361
1513498822,4298,4352
1513509023,4285,4341
1513520423,4283,4338
1513531222,4279,4334
1513541421,4263,4318
1513552822,4258,4312
1513564221,4250,4304
1513574420,4243,4297
1513585222,4242,4296
1513596023,4232,4286
1513607422,4230,4283
1513617621,4225,4278
1513628422,4217,4269
1513639821,4203,4255
1513650021,4210,4262
1513661420,4209,4261
1513671623,4194,4247
1513682423,4165,4219
1513693224,4139,4192
1513704024,4134,4187
1513714823,4142,4197
1513725621,4146,4201
1513736421,4169,4227
