DateTime,Entries,UniqueIPs
1512342259,1030,1030
1512364161,1031,1031
1512386221,1040,1040
1512408286,1039,1039
1512430374,1036,1036
1512452482,1035,1035
1512474496,1030,1030
1512497056,1024,1024
1512518928,1021,1021
1512541018,1017,1017
1512563097,1015,1015
1512585007,1028,1028
1512606982,889,889
1512629066,889,889
1512650930,881,881
1512673113,879,879
1512695337,877,877
1512717401,348,348
1512739387,355,355
1512761322,358,358
1512783176,362,362
1512805321,357,357
1512827336,357,357
1512849399,1252,1252
1512871512,1252,1252
1512893572,1249,1249
1512915697,1252,1252
1512937972,1218,1218
1512959820,1216,1216
1512981879,1223,1223
1513003960,1210,1210
1513026261,1207,1207
1513048165,1208,1208
1513070196,1269,1269
1513092285,1281,1281
1513114135,1284,1284
1513136209,1281,1281
1513158282,1285,1285
1513180123,1271,1271
1513202210,1277,1277
1513224291,1293,1293
1513257636,1291,1291
1513279480,1290,1290
1513301589,1293,1293
1513323629,1294,1294
1513345726,1294,1294
1513367839,1293,1293
1513389886,1294,1294
1513411994,1296,1296
1513434058,1295,1295
1513456134,387,387
1513478001,385,385
1513500030,387,387
1513521876,392,392
1513543966,404,404
1513565812,429,429
1513588162,432,432
1513610010,437,437
1513632047,440,440
1513654109,438,438
1513676006,440,440
1513697884,447,447
1513719903,447,447
1513741976,450,450
1513764107,445,445
1513786415,438,438
1513808636,437,437
1513830525,422,422
1513852624,426,426
1513874668,428,428
1513897356,407,407
1513919312,408,408
1513941426,407,407
1513963553,406,406
1513985819,406,406
1514007887,402,402
1514029935,403,403
1514051851,401,401
1514073727,400,400
1514095976,404,404
1514117902,404,404
1514139874,404,404
1514161733,400,400
1514183900,401,401
1514205859,390,390
1514227969,335,335
1514249932,292,292
1514271887,292,292
1514293740,293,293
1514315805,283,283
1514337772,277,277
1514359757,287,287
1514382055,280,280
1514404132,281,281
1514425984,283,283
1514448093,282,282
1514469952,280,280
1514491962,281,281
1514514031,277,277
1514535877,276,276
1514557800,279,279
1514579811,280,280
1514602020,283,283
1514623963,284,284
1514646166,288,288
1514668041,288,288
1514689988,290,290
1514712103,289,289
1514734292,293,293
1514756240,296,296
1514778290,294,294
1514800219,291,291
1514822213,2016,2016
1514844315,2017,2017
1514866376,2017,2017
1514888470,2016,2016
1514910507,2018,2018
1514932474,2032,2032
1514954353,2023,2023
1514976375,2026,2026
1514998609,2023,2023
1515133550,2148,2148
1515155570,2151,2151
1515177775,4421,4421
1515200057,4441,4441
1515222402,4444,4444
1515244613,4682,4682
1515266668,5814,5814
1515288515,5884,5884
1515310371,5881,5881
1515332449,5880,5880
1515354536,5875,5875
1515376607,5962,5962
1515398695,5963,5963
1515420754,4952,4952
1515442617,4953,4953
1515464927,4953,4953
1515486945,4949,4949
1515509159,4947,4947
1515531537,8148,8148
1515553467,8474,8474
1515575625,8475,8475
1515597859,8475,8475
1515620059,8472,8472
1515642133,8426,8426
1515664346,8425,8425
1515686210,8421,8421
1515708114,8424,8424
1515730145,8426,8426
1515752087,8426,8426
1515774310,6654,6654
1515796615,6655,6655
1515818696,6644,6644
1515840753,6779,6779
1515862693,5473,5473
1515884876,5474,5474
1515906789,5396,5396
1515929119,5401,5401
1515951366,5399,5399
1515973761,5319,5319
1515995802,5317,5317
1516017894,5313,5313
1516039913,5396,5396
1516061826,5401,5401
1516083926,5400,5400
1516105969,5397,5397
1516128027,4379,4379
1516150119,4381,4381
1516171962,4378,4378
1516193894,4387,4387
1516215882,4392,4392
1516237784,4392,4392
1516259819,4386,4386
1516281961,4386,4386
1516303958,5900,5900
1516326063,5901,5901
1516348042,5900,5900
1516370487,5900,5900
1516392628,6100,6100
1516414908,6101,6101
1516437048,6099,6099
1516459046,5887,5887
1516481090,5889,5889
1516503157,5885,5885
1516525277,5885,5885
1516547342,5881,5881
1516569397,5884,5884
1516591466,5884,5884
1516613316,5883,5883
1516635397,5884,5884
1516657464,5810,5810
1516679306,5801,5801
1516701187,5801,5801
1516734548,5796,5796
1516756612,5799,5799
1516778720,5800,5800
